vehtypename,route,vehnr,tod,traveltime
Bus,1650,2,07:30:32.0,1831.0
Bus,1650,513,07:31:01.0,1800.0
Bus,1650,2862,07:35:43.0,1782.0
Bus,1650,4715,07:36:06.0,1565.0
Bus,1650,6104,07:38:21.0,1520.0
Bus,1650,9474,07:51:37.0,1896.0
Bus,1650,10904,07:53:46.0,1845.0
Bus,1650,14252,08:01:49.0,1908.0
Bus,1650,17200,08:04:21.0,1700.0
Bus,1650,19119,08:09:39.0,1778.0
Bus,1650,22534,08:17:35.0,1833.0
Bus,1650,23997,08:20:25.0,1824.0
Bus,1650,26910,08:22:59.0,1618.0
Bus,1650,27892,08:25:37.0,1656.0
Bus,1650,30314,08:33:25.0,1824.0
Bus,1650,30775,08:33:53.0,1792.0
Bus,1650,35483,08:49:32.0,2131.0
Bus,1650,35979,08:49:58.0,2097.0
Bus,1650,38372,08:51:42.0,1901.0
Bus,1650,40274,08:52:12.0,1691.0
Bus,1650,41680,08:54:36.0,1655.0
